MA417,数理统计,0
MA417,概率论与数理统计,1
MA417,数理统计,2
MAT7041,统计线性模型,0
ME434,机器人基础,0
BMEB325,医学影像系统原理,0
EE328,数字信号处理,0
MAT7012,抽象代数,0
MAT7012,抽象代数,1
MAE314,高等数学下A,0
MAE314,数学分析II,1
MAE314,高等数学下,2
MAE314,数学分析II,3
ESE307,高等数学下A,0
ESE307,高等数学下,1
ESE307,数学分析II,2
MAE302-16,流体力学,0
MAE302-16,流体力学,1
MAE302-16,工程流体力学,2
EE334,数字电路,0
EE334,数字电路,1
EE334,数字电路,2
MAE310,弹性力学,0
MAE310,弹性力学,1
ESE331,生态学概论,0
PHY442,量子力学I,0
CS306,数据结构与算法分析,0
FET206,计算机程序设计基础A,0
FET206,计算机程序设计基础,1
FET206,计算机编程基础,2
MA333,概率论与数理统计,0
MA333,概率论,1
CH102-17,化学原理,0
CH102-17,化学原理A,1
MA210,数学分析III,0
MA210,数学分析III,1
MA210,数学分析精讲,2
MA210,数学分析精讲,3
MA210,数学分析精讲,4
ME302,制造工程认知实践,0
ME302,机械设计基础,1
ESE214,环境监测,0
BIO342,微生物学实验,0
MA213-16,高等数学下,0
MA213-16,高等数学下A,1
PHY431,固体物理,0
PHY431,固体物理,1
PHY431,量子力学II,2
MA110,线性代数II,0
CH212-16,化学原理A,0
CH212-16,化学原理,1
OCE408,矿物学与岩石学,0
PHY439,线性代数I-A,0
PHY439,线性代数I,1
PHY439,分析力学,2
FET204,微观经济学,0
FET204,财务会计,1
MAE308,高等数学下A,0
MAE308,数学分析II,1
MAE308,高等数学下,2
MAE308,数学分析II,3
CS209A,计算机程序设计基础A,0
CS209A,计算机程序设计基础,1
CS209A,计算机编程基础,2
CS209A,计算机程序设计基础B,3
CH308-14,有机化学II,0
CH308-14,物理化学I,1
CH318-14,化学原理A,0
CH318-14,化学原理,1
BIO303,生物化学与分子生物学实验,0
BIO303,遗传学,1
BIO305,普通生物学,0
BIO305,普通生物学,1
BIO304,普通生物学,0
BIO304,普通生物学,1
BIO304,概率论与数理统计,2
BIO304,概率论,3
BIO304,数理统计,4
BIO304,数理统计,5
BIO306,计算生物学,0
BIO104,普通生物学,0
BIO104,普通生物学,1
BIO104,生命科学概论,2
BIO202,生物化学I生物大分子,0
BIO202,生物化学I生物大分子,1
BIO310,生物化学I生物大分子,0
BIO310,生物化学I生物大分子,1
BIO302,生物化学I生物大分子,0
BIO302,生物化学I生物大分子,1
BIO302,细胞生物学,2
BIO302,细胞生物学,3
BIO302,普通生物学实验,4
BIO331,生物化学I生物大分子,0
BIO331,生物化学I生物大分子,1
ESS310,地球物理学基础I地震学原理,0
ESS310,地球物理学基础II地磁地电地热和重力,1
CS208,计算机编程基础,0
CS208,计算机程序设计基础,1
CS208,计算机程序设计基础A,2
CS208,数据结构与算法分析,3
CS208,数据结构与算法设计,4
CH328,物理化学I,0
CH208,化学原理实验,0
CH208,化学原理实验A,1
CH208,有机化学I,2
CH206,有机化学I,0
CH204,化学原理实验A,0
CH204,化学原理实验,1
CH204,无机化学I,2
CH204,无机化学导论,3
CH302,物理化学I,0
CH403,高等数学下A,0
CH403,高等数学下,1
CH403,数学分析II,2
CH403,数学分析II,3
CH403,大学物理A下,4
CH403,大学物理B下,5
CH403,大学物理A下,6
CH306,物理化学I,0
CH306,无机化学II,1
CH306,金属有机化学,2
CH306,配位化学,3
CH314,有机化学II,0
CH314,现代策略合成,1
CH314,现代策略合成中的金属有机化学,2
CH314,现代策略合成中的高等有机化学,3
CH312,有机化学II,0
CH304,物理化学I,0
CH304,无机化学II,1
CH304,金属有机化学,2
CH304,配位化学,3
CH316,化学原理A,0
CH316,化学原理,1
CS201,数学分析II,0
CS201,高等数学下,1
CS201,高等数学下A,2
CS201,数学分析II,3
CS201,线性代数I,4
CS201,线性代数I-A,5
CS202,数字逻辑,0
CS302,数据结构与算法分析,0
CS302,数据结构与算法设计,1
CS302,计算机组成原理,2
CS302,计算机程序设计基础A,3
CS302,计算机程序设计基础,4
CS302,计算机编程基础,5
CS304,面向对象分析与设计,0
FMA307,应用随机过程,0
FMA307,应用随机过程,1
BMEB314,生物医学工程一,0
BIO222,生物化学I生物大分子,0
BIO222,生物化学I生物大分子,1
BIO222,普通生物学实验,2
ESE302,物理化学,0
ESE302,环境工程原理,1
CS314,计算机网络,0
CS314,面向对象分析与设计,1
EE330,数字信号处理,0
EE326,信号和系统,0
BIO323,细胞生物学,0
BIO323,细胞生物学,1
BMEB324,生物医学光学,0
BMEB324,生物医学光学,1
PHY201-15,大学物理A上,0
PHY201-15,大学物理B上,1
PHY201-15,大学物理A上,2
MSE305,材料科学基础,0
MSE305,材料科学基础,1
MSE313,材料科学基础,0
MSE313,材料科学基础,1
MSE308,基础物理实验,0
MSE308,基础物理实验,1
MSE308,材料科学基础,2
MSE308,材料科学基础,3
CS406,高级算法,0
EE104,高等数学上A,0
EE104,高等数学上,1
EE104,数学分析I,2
EE104,数学分析I,3
EE104,线性代数I-A,4
EE104,线性代数I,5
EE104,线性代数I-B,6
EE204,固态电子学,0
EE206,信号和系统,0
CS203,计算机程序设计基础A,0
CS203,计算机程序设计基础,1
CS203,计算机编程基础,2
EE208,高等数学上A,0
EE208,高等数学上,1
EE208,数学分析I,2
EE208,线性代数I-A,3
EE208,线性代数I,4
EE208,电路基础,5
EE304,数字电路,0
EE304,数字电路,1
EE304,数字电路,2
EE304,半导体器件导论,3
EE306,大学物理B下,0
EE306,大学物理A下,1
EE306,大学物理A下,2
EE314,无线通信,0
EE316,电路基础,0
EE316,工程电磁场理论,1
EE316,模拟电路,2
EE316,模拟电路,3
EE320-15,半导体器件导论,0
EE322,半导体器件导论,0
ESE206,化学原理A,0
ESE206,化学原理,1
ESE206,化学原理B,2
MSE208,化学原理,0
MSE208,化学原理A,1
MA302,实变函数,0
MA302,实变函数,1
MA302,复变函数,2
MA302,复变函数,3
MA302,线性代数II,4
MAE407,工程热力学,0
MAE407,热力学与统计物理I,1
EE202-17L,数字电路,0
EE202-17L,数字电路,1
MAE304,理论力学I,0
MAE304,理论力学I,1
MAE304,材料力学,2
MAE304,材料力学,3
FMA301,概率论与数理统计,0
FMA301,数理统计,1
FMA301,数理统计,2
ME310,控制工程基础,0
ME310,控制工程基础,1
ME310,信号和系统,2
BIO403-16,细胞生物学,0
BIO403-16,细胞生物学,1
BIO403-16,动物生理学,2
EE423-14,线性代数I,0
EE423-14,线性代数I-A,1
EE423-14,概率论与数理统计,2
EE423-14,概率论,3
EE423-14,信号和系统,4
FIN308,概率论与数理统计,0
FIN308,概率论,1
FIN308,数理统计,2
FIN308,数理统计,3
FIN308,公司金融,4
FMA302,概率论与数理统计,0
FMA302,概率论,1
MA104b,线性代数I-A,0
MA104b,线性代数I,1
MA104b,线性代数IA,2
MA202,数学分析III,0
MA202,数学分析III,1
MA202,数学分析精讲,2
MA202,数学分析精讲,3
MA202,数学分析精讲,4
MA212,数学分析II,0
MA212,数学分析II,1
MA212,高等数学下,2
