EE480,,0
ESE202,,0
ESE206,(%d or %d or %d),3
MSE208,(%d or %d),2
MA302,(%d or %d) and (%d or %d) and %d,5
OCE301,,0
MAE407,(%d or %d),2
EE202-17L,(%d or %d),2
MAE304,(%d or %d) and (%d or %d),4
FMA301,(%d or %d or %d),3
ME310,(%d or %d) and %d,3
BIO403-16,(%d or %d) and %d,3
EE423-14,(%d or %d) and (%d or %d) and %d,5
FIN210,,0
FIN308,(%d or %d or %d or %d) and %d,5
FIN490,,0
FMA302,(%d or %d),2
MA104b,(%d or %d or %d),3
MA202,(%d or %d or %d or %d or %d),5
MA212,(%d or %d or %d or %d or %d),5
MA204,(%d or %d),2
FIN204,,0
FIN206,%d,1
FIN201,,0
FIN202,,0
FIN203,,0
MA214,%d,1
FIN302,%d and (%d or %d),3
FIN301,(%d or %d or %d or %d) and (%d and %d),6
FIN208,(%d or %d or %d or %d),4
MA325,(%d or %d or %d),3
MA304,(%d or %d or %d),3
FIN306,%d,1
FIN305,(%d or %d or %d or %d) and %d and %d,6
MAT7003,%d,1
MSE102,,0
MSE204,%d,1
MSE328,(%d or %d) and (%d or %d or %d) and %d,6
MSE302,(%d or %d),2
MSE304,%d,1
MSE306,%d,1
MSE321,%d,1
MSE316,(%d or %d),2
MSE318,%d,1
MSE320,(%d or %d or %d or %d) and (%d or %d or %d or %d),8
MSE403,%d,1
MSE480,,0
PHY205-15,(%d or %d or %d),3
PHY202,(%d or %d or %d),3
PHY210,(%d or %d or %d),3
PHY204,(%d or %d or %d),3
PHY324,(%d and %d),2
PHY330,(%d and %d),2
PHY208,%d,1
PHY328,%d,1
PHY206-15,(%d and %d),2
PHY207-15,(%d or %d or %d) and (%d or %d) and %d,6
PHY326-15,%d,1
PHY332-15,%d,1
SS018,,0
SS043,,0
CLE039,(%d or %d or %d),3
GELS02,,0
GEM029,,0
SS048,,0
CLE041,(%d or %d or %d),3
HUM028,,0
SS007,,0
GEM024,,0
GEM032,,0
SS016,,0
SS051,,0
HUM017,,0
IE001,,0
DHSSS002,,0
SS010,,0
GEM008,,0
HUM013,,0
SS054,,0
DHSSS001,,0
GEM033,,0
SS009,,0
SS041,,0
GE2229,(%d or %d or %d),3
GE2100,,0
CLE042,(%d or %d or %d),3
SS044,,0
GEM026,,0
SS024,,0
SS046,,0
SS028,,0
SS052,,0
HUM018,(%d or %d),2
HUM027,,0
HUM026,,0
SS053,,0
CLE024,(%d or %d or %d),3
SS047,,0
GEM034,,0
GEM036,,0
SS025,,0
INO001,,0
GEM035,,0
HE004,,0
SS049,,0
SS019,,0
HUM009,,0
GEJ013,,0
SS050,,0
SS027,,0
SS042,,0
GE212,,0
GEM022,,0
INO005,,0
GEM006,,0
GE1221,,0
GEL006,(%d or %d or %d),3
HUM005,,0
HUM007,,0
HUM008,,0
