IPE104,null
PHY442,量子力学I
CS306,数据结构与算法分析
FET206,(计算机程序设计基础A 或者 计算机程序设计基础 或者 计算机编程基础)
MA333,(概率论与数理统计 或者 概率论)
CH102-17,(化学原理 或者 化学原理 A)
CS207,null
MA210,(数学分析III 或者 数学分析III 或者 数学分析精讲 或者 数学分析精讲 或者 数学分析精讲)
FET202,null
ME302,(制造工程认知实践 并且 机械设计基础)
ESE214,环境监测
BIO342,微生物学实验
MA213-16,(高等数学(下) 或者 高等数学(下)A)
PHY431,(固体物理 或者 固体物理) 并且 量子力学II
MA110,线性代数II
CH212-16,(化学原理 A 或者 化学原理)
OCE408,矿物学与岩石学
PHY439,(线性代数I-A 或者 线性代数I) 并且 分析力学
FET204,(微观经济学 并且 财务会计)
MAE308,(高等数学(下)A 或者 数学分析II 或者 高等数学(下) 或者 数学分析II)
CS209A,(计算机程序设计基础A 或者 计算机程序设计基础 或者 计算机编程基础 或者 计算机程序设计基础B)
CH308-14,(有机化学II 并且 物理化学I)
CH318-14,(化学原理 A 或者 化学原理)
CS205,null
BIO203,null
BIO301,null
BIO303,(生物化学与分子生物学实验 并且 遗传学)
BIO305,(普通生物学 或者 普通生物学)
BIO304,(普通生物学 或者 普通生物学) 并且 (概率论与数理统计 或者 (概率论 并且 (数理统计 或者 数理统计)))
BIO306,计算生物学
BIO308,null
BIO104,(普通生物学 或者 普通生物学) 或者 生命科学概论
BIO202,(生物化学I(生物大分子) 或者 生物化学I(生物大分子))
BIO310,(生物化学I(生物大分子) 或者 生物化学I(生物大分子))
BIO302,(生物化学I(生物大分子) 或者 生物化学I(生物大分子)) 并且 (细胞生物学 或者 细胞生物学) 并且 普通生物学实验
BIO331,(生物化学I(生物大分子) 或者 生物化学I(生物大分子))
PHY104B,null
ESS310,(地球物理学基础I(地震学原理) 并且 地球物理学基础II(地磁地电地热和重力))
EE404,null
OCE407,null
ME112,null
FET490,null
MAT7045,null
CS208,(计算机编程基础 或者 计算机程序设计基础 或者 计算机程序设计基础A) 并且 (数据结构与算法分析 或者 数据结构与算法设计)
CH328,物理化学I
CH208,(化学原理实验 或者 化学原理实验A) 并且 有机化学I
CH206,有机化学I
CH204,(化学原理实验A 或者 化学原理实验) 并且 (无机化学I 或者 无机化学导论)
CH302,物理化学I
CH210,null
CH403,(高等数学(下)A 或者 高等数学(下) 或者 数学分析II 或者 数学分析II) 并且 (大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下))
CH306,物理化学I 并且 (无机化学II 或者 (金属有机化学 并且 配位化学))
CH314,有机化学II 并且 (现代策略合成 或者 (现代策略合成中的金属有机化学 并且 现代策略合成中的高等有机化学))
CH312,有机化学II
CH304,物理化学I 并且 (无机化学II 或者 (金属有机化学 并且 配位化学))
CH316,(化学原理 A 或者 化学原理)
CS201,(数学分析II 或者 高等数学(下) 或者 高等数学(下)A 或者 数学分析II) 并且 (线性代数I 或者 线性代数I-A)
CS202,数字逻辑
CS302,(数据结构与算法分析 或者 数据结构与算法设计) 并且 计算机组成原理 并且 (计算机程序设计基础A 或者 计算机程序设计基础 或者 计算机编程基础)
CS304,面向对象分析与设计
CS312,null
CS318,null
CS322,null
OCE202,null
FMA307,(应用随机过程 或者 应用随机过程)
BMEB314,生物医学工程(一)
OCE204,null
BIO222,(生物化学I(生物大分子) 或者 生物化学I(生物大分子)) 并且 普通生物学实验
ME101,null
ESE302,(物理化学 并且 环境工程原理)
CS314,(计算机网络 并且 面向对象分析与设计)
OCE201,null
EE330,数字信号处理
ME103,null
EE326,信号和系统
BIO323,(细胞生物学 或者 细胞生物学)
BMEB324,(生物医学光学 或者 生物医学光学)
PHY201-15,(大学物理A(上) 或者 大学物理 B(上) 或者 大学物理A(上))
MSE305,(材料科学基础 或者 材料科学基础)
MSE313,(材料科学基础 或者 材料科学基础)
MSE308,(基础物理实验 或者 基础物理实验) 并且 (材料科学基础 或者 材料科学基础)
MSE310,null
BMEB315,null
CS406,高级算法
EE104,(高等数学(上)A 或者 高等数学(上) 或者 数学分析I 或者 数学分析I) 并且 (线性代数I-A 或者 线性代数I 或者 线性代数I-B)
EE203,null
EE204,固态电子学
EE205,null
EE206,信号和系统
CS203,(计算机程序设计基础A 或者 计算机程序设计基础 或者 计算机编程基础)
EE208,(高等数学(上)A 或者 高等数学(上) 或者 数学分析I) 并且 (线性代数I-A 或者 线性代数I) 并且 电路基础
EE302,null
EE304,(数字电路 或者 数字电路 或者 数字电路) 并且 半导体器件导论
EE306,(大学物理 B(下) 或者 大学物理A(下) 或者 大学物理A(下))
EE308,null
EE310,null
EE314,无线通信
EE316,(电路基础 并且 工程电磁场理论) 并且 (模拟电路 或者 模拟电路)
EE318,null
EE320-15,半导体器件导论
EE322,半导体器件导论
EE402,null
EE480,null
ESE202,null
ESE206,(化学原理 A 或者 化学原理 或者 化学原理 B)
MSE208,(化学原理 或者 化学原理 A)
MA302,(实变函数 或者 实变函数) 并且 (复变函数 或者 复变函数) 并且 线性代数II
OCE301,null
MAE407,(工程热力学 或者 热力学与统计物理I)
EE202-17L,(数字电路 或者 数字电路)
MAE304,(理论力学I 或者 理论力学I) 并且 (材料力学 或者 材料力学)
FMA301,(概率论与数理统计 或者 数理统计 或者 数理统计)
ME310,(控制工程基础 或者 控制工程基础 ) 并且 (信号和系统)
BIO403-16,(细胞生物学 或者 细胞生物学) 并且 动物生理学
EE423-14,(线性代数I 或者 线性代数I-A) 并且 (概率论与数理统计 或者 概率论) 并且 信号和系统
FIN210,null
FIN308,(概率论与数理统计 或者 概率论 或者 数理统计 或者 数理统计) 并且 公司金融
FIN490,null
FMA302,(概率论与数理统计 或者 概率论)
MA104b,(线性代数I-A 或者 线性代数I 或者 线性代数I A)
MA202,(数学分析III 或者 数学分析III 或者 数学分析精讲 或者 数学分析精讲 或者 数学分析精讲)
MA212,(数学分析II 或者 数学分析II 或者 高等数学(下) 或者 高等数学(下)A 或者 高等数学(下)B)
MA204,(概率论 或者 概率论与数理统计)
FIN204,null
FIN206,财务会计
FIN201,null
FIN202,null
FIN203,null
MA214,线性代数II
FIN302,金融投资概论 并且 (计量经济学 或者 计量经济学)
FIN301,(概率论与数理统计 或者 概率论 或者 数理统计 或者 数理统计) 并且 (宏观经济学 并且 微观经济学)
FIN208,(概率论与数理统计 或者 概率论 或者 数理统计 或者 数理统计)
MA325,(偏微分方程 或者 偏微分方程 或者 偏微分方程)
MA304,(概率论与数理统计 或者 数理统计 或者 数理统计)
FIN306,金融衍生品
FIN305,(概率论与数理统计 或者 概率论 或者 数理统计 或者 数理统计) 并且 公司金融 并且 金融投资概论
MAT7003,泛函分析
MSE102,null
MSE204,物理化学
MSE328,(材料科学基础 或者 材料科学基础) 并且 (高等数学(下)A 或者 高等数学(下) 或者 数学分析II) 并且 晶体学
MSE302,(材料科学基础 或者 材料科学基础)
MSE304,材料学综合实验I
MSE306,材料科学基础
MSE321,材料科学基础
MSE316,(材料科学基础 或者 材料科学基础)
MSE318,材料科学创新实验I
MSE320,(大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下) 或者 大学物理 B(下)) 并且 (模拟电路 或者 模拟电路 或者 模拟电路 或者 工程电路与电子基础)
MSE403,材料科学基础
MSE480,null
PHY205-15,(大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下))
PHY202,(大学物理A(上) 或者 大学物理 B(上) 或者 大学物理A(上))
PHY210,(大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下))
PHY204,(大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下))
PHY324,(近代光学 并且 原子物理学)
PHY330,(量子力学I 并且 近代光学)
PHY208,电动力学I
PHY328,热力学与统计物理I
PHY206-15,(数学物理方法 并且 分析力学)
PHY207-15,(大学物理A(下) 或者 大学物理 B(下) 或者 大学物理A(下)) 并且 (线性代数I-A 或者 线性代数I) 并且 数学物理方法
PHY326-15,固体物理
PHY332-15,固体物理
SS018,null
SS043,null
CLE039,(EAP 或者 学术英语 III 或者 学术用途英语)
GELS02,null
GEM029,null
SS048,null
CLE041,(EAP 或者 学术英语 III 或者 学术用途英语)
HUM028,null
SS007,null
GEM024,null
GEM032,null
SS016,null
SS051,null
HUM017,null
IE001,null
DHSSS002,null
SS010,null
GEM008,null
HUM013,null
SS054,null
DHSSS001,null
GEM033,null
SS009,null
SS041,null
GE2229,(EAP 或者 学术英语 III 或者 学术用途英语)
GE2100,null
CLE042,(EAP 或者 学术英语 III 或者 学术用途英语)
SS044,null
GEM026,null
SS024,null
SS046,null
SS028,null
SS052,null
HUM018,(科幻电影鉴赏与批评 或者 科幻：从小说到电影)
HUM027,null
HUM026,null
SS053,null
CLE024,(学术英语 III 或者 EAP 或者 学术用途英语)
SS047,null
GEM034,null
GEM036,null
SS025,null
INO001,null
GEM035,null
HE004,null
SS049,null
SS019,null
HUM009,null
GEJ013,null
SS050,null
SS027,null
SS042,null
GE212,null
GEM022,null
INO005,null
GEM006,null
GE1221,null
GEL006,(学术英语 III 或者 EAP 或者 学术用途英语)
HUM005,null
HUM007,null
HUM008,null
BIO102B,null
BIO102A,null
CS102B,null
PHY105A,大学物理A(上)
MA203a,(数学分析II 或者 数学分析II)
CS102A,null
CLE023,null
CLE022,null
MA101B,null
CLE030,SUSTech English III
MA102B,(高等数学(上)A 或者 高等数学(上))
PHY103B,null
MA103B,null
CLE021,null
PHY105C,(大学物理A(上) 或者 大学物理 B(上) 或者 大学物理C(上)) 或者 (大学物理A(上) 或者 大学物理B(上))
MA103A,null
MA102a,(数学分析I 或者 数学分析I)
CH101B,null
CH101A,null
PHY105B,(大学物理A(上) 或者 大学物理 B(上) 或者 大学物理A(上))
